user_id,budget,available_days,distance_preference,num_travelers,activity_type,season,start_latitude,start_longitude,selected_attractions,total_time_hours,total_budget
1,284524.26,7,105.97,1,wildlife,3,8.33223,81.056412,"[110, 90, 82, 1, 11, 46, 79, 100, 31, 21, 37, 108]",23.39,213572.78
2,48600.61,3,252.81,2,cultural,2,6.868696,81.193106,"[62, 66, 116, 108, 55, 12, 72, 115]",20.81,36157.34
3,114932.23,4,238.73,5,wildlife,1,8.00953,81.171432,"[80, 73, 8, 31, 24, 28, 44, 20]",20.29,99284.53
4,30004.51,5,308.93,2,historical,1,6.907101,80.952988,"[92, 90, 59]",37.26,25878.66
5,448404.73,4,120.41,2,historical,3,8.165706,81.87763,"[60, 73, 9, 24, 103, 26, 117, 36, 105, 68, 43, 42]",20.3,332185.96
6,120739.7,7,306.27,2,wildlife,2,6.177036,80.005903,"[6, 105, 48, 77, 1, 96, 31, 45, 72]",31.71,95765.54
7,76856.22,2,247.31,1,wildlife,1,8.148795,80.841038,"[106, 1, 54, 47, 120, 79]",10.07,70409.27
8,238479.46,3,201.87,5,relaxation,3,7.874688,80.340992,"[25, 60, 74, 92, 110, 51, 10, 108, 7]",21.72,222145.17
9,95561.92,10,367.81,3,adventure,1,6.860352,80.516515,"[96, 78, 7, 45, 37, 105, 91, 115, 77]",69.47,82360.64
10,41282.03,7,72.66,1,cultural,2,6.067904,81.374313,"[103, 29, 12, 107, 10, 91]",35.11,35640.4
11,139359.46,3,293.13,3,historical,3,6.100046,80.682085,"[38, 98, 64, 80, 79, 24, 20, 29, 39]",13.2,99809.16
12,89457.23,4,147.31,2,relaxation,1,7.70986,81.763349,"[46, 14, 77, 61, 41, 67, 85]",19.56,58164.05
13,115223.54,3,108.94,2,historical,1,6.241834,79.657948,"[85, 86, 81, 94, 44, 53, 99, 93]",23.81,87044.03
14,82002.73,7,231.22,2,adventure,2,7.675994,80.495905,"[5, 111, 10, 115, 2, 63]",36.47,67806.56
15,17905.57,5,320.81,1,adventure,1,7.51515,81.79907,"[55, 49, 25, 38]",26.65,13534.56
16,72048.76,4,59.46,2,adventure,1,7.497724,81.84773,"[117, 31, 34, 30, 72, 55, 63, 11]",26.6,55582.36
17,266967.45,2,379.2,3,wildlife,1,6.218142,79.710692,"[5, 88, 71]",11.88,200032.01
18,71399.47,2,212.17,2,wildlife,3,6.590796,79.512335,"[86, 70, 57, 54, 21, 1]",8.44,50487.74
19,37306.1,4,415.38,1,relaxation,3,9.468506,81.525311,"[107, 54, 28, 39, 12, 26]",29.24,23759.95
20,14814.54,5,375.25,1,cultural,1,7.008319,80.193524,"[97, 10, 116]",35.49,13494.08
